Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Population [Pop],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost of oils and fats [CoHD_of],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of animal-source foods [CoHD_asf],Cost of starchy staples [CoHD_ss],Cost of vegetables [CoHD_v],Cost of fruits [CoHD_f],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of a healthy diet [CoHD],Cost of a nutrient adequate diet [CoNA],Cost of an energy sufficient diet [CoCA]
Food Prices for Nutrition 2.0,FPN 2.0,Haiti,HTI,2017,YR2017,10863543,9.2,8,2.6,84.7,73.8,23.5,1.476,1.1,0.411,3.509,2.615,0.978,0.2,0.54,2.45,1.31,0.033,0.58,0.089,0.403,0.164,0.215,0.096,0.128,0.35,1.583,0.646,0.845,0.377,3.59,3.93,2.929,1.095
Food Prices for Nutrition 2.0,FPN 2.0,High income,HIC,2017,YR2017,1219259590,21.4,14,7.3,1.9,1.2,0.6,0.455,0.351,0.106,2.814,2.152,0.636,0.22,0.77,1.65,1.76,0.032,1.51,0.112,0.239,0.144,0.255,0.218,0.102,0.352,0.753,0.455,0.803,0.688,1.307341352,3.152,2.411,0.712
Food Prices for Nutrition 2.0,FPN 2.0,Honduras,HND,2017,YR2017,9626842,4.7,4.8,1.4,48.5,49.9,14.3,0.956,0.988,0.326,3,3.1,1.023,0.39,0.36,1.7,1.07,0.074,0.76,0.068,0.322,0.19,0.202,0.144,0.248,0.229,1.083,0.637,0.68,0.484,2.93,3.36,3.472,1.146
Food Prices for Nutrition 2.0,FPN 2.0,"Hong Kong SAR, China",HKG,2017,YR2017,7393200,..,..,..,..,..,..,0.321,0.203,0.08,3.267,2.068,0.811,0.21,0.41,1.39,1,0.044,0.91,0.083,0.283,0.204,0.203,0.184,0.16,0.304,1.034,0.745,0.742,0.675,4.03,3.659,2.316,0.908
Food Prices for Nutrition 2.0,FPN 2.0,Hungary,HUN,2017,YR2017,9787966,0.4,0.2,0,3.7,1.9,0.3,0.491,0.336,0.065,2.948,2.016,0.388,0.22,1.03,1.98,1.85,0.027,2.03,0.127,0.244,0.123,0.228,0.251,0.089,0.42,0.805,0.407,0.754,0.828,7.61,3.302,2.258,0.434
Food Prices for Nutrition 2.0,FPN 2.0,Iceland,ISL,2017,YR2017,343400,0,0,0,0,0,0,0.247,0.271,0.042,1.976,2.163,0.338,0.2,1,2.15,1.9,0.025,1.75,0.125,0.269,0.125,0.237,0.219,0.055,0.277,0.596,0.277,0.525,0.484,5.85,2.213,2.422,0.378
Food Prices for Nutrition 2.0,FPN 2.0,India,IND,2017,YR2017,1354195680,1066.8,866.2,43.4,78.8,64,3.2,0.979,0.737,0.274,2.521,1.897,0.704,0.35,0.72,2.19,1.44,0.05,1.24,0.103,0.316,0.144,0.208,0.178,0.142,0.292,0.892,0.407,0.588,0.504,3.58,2.824,2.125,0.789
Food Prices for Nutrition 2.0,FPN 2.0,Indonesia,IDN,2017,YR2017,264498852,192.5,130.8,11.4,72.8,7,4.3,0.844,0.545,0.209,3.687,2.379,0.912,0.19,0.62,1.35,1.68,0.031,1.15,0.104,0.225,0.167,0.281,0.192,0.13,0.429,0.929,0.69,1.16,0.792,4.04,4.129,2.664,1.021
Food Prices for Nutrition 2.0,FPN 2.0,"Iran, Islamic Rep.",IRN,2017,YR2017,84505076,12.2,4.3,0.1,14.4,5,0.2,0.753,0.503,0.218,2.683,1.794,0.778,0.37,1.3,1.59,1.1,0.055,1.41,0.191,0.234,0.148,0.163,0.209,0.165,0.575,0.704,0.444,0.49,0.627,3.45,3.005,2.009,0.871
Food Prices for Nutrition 2.0,FPN 2.0,Iraq,IRQ,2017,YR2017,39621162,6.7,2.3,0,16.8,5.8,0.1,0.726,0.538,0.25,3.016,2.237,1.04,0.21,0.45,1.56,1.04,0.039,1.02,0.084,0.296,0.189,0.197,0.194,0.133,0.285,0.999,0.639,0.667,0.654,2.9,3.378,2.505,1.165
Food Prices for Nutrition 2.0,FPN 2.0,Ireland,IRL,2017,YR2017,4807388,0,0,0,0.4,0.3,0.2,0.491,0.415,0.116,2.14,1.809,0.507,0.18,0.87,1.6,1.79,0.025,1.9,0.119,0.218,0.136,0.243,0.259,0.06,0.285,0.523,0.326,0.582,0.621,4.22,2.397,2.026,0.568
Food Prices for Nutrition 2.0,FPN 2.0,Israel,ISR,2017,YR2017,8713300,0.2,0.1,0,1.9,1.2,0.2,0.299,0.233,0.062,2.175,1.695,0.449,0.21,0.63,2.44,1.15,0.03,1.63,0.089,0.346,0.142,0.163,0.231,0.074,0.216,0.842,0.345,0.397,0.562,4.84,2.436,1.898,0.503
Food Prices for Nutrition 2.0,FPN 2.0,Italy,ITA,2017,YR2017,60536709,1.7,1.3,0.6,2.8,2.1,1,0.325,0.251,0.035,2.576,1.988,0.279,0.26,1.2,3.52,3.4,0.02,3.67,0.092,0.27,0.077,0.26,0.281,0.057,0.266,0.778,0.221,0.751,0.812,9.25,2.885,2.226,0.312
Food Prices for Nutrition 2.0,FPN 2.0,Jamaica,JAM,2017,YR2017,2808376,1.6,1,0,57.9,36.6,0.9,0.917,0.623,0.156,5.335,3.622,0.906,0.35,0.66,1.67,2.13,0.041,2.92,0.076,0.191,0.114,0.243,0.334,0.242,0.454,1.144,0.684,1.454,1.997,5.89,5.975,4.057,1.015
Food Prices for Nutrition 2.0,FPN 2.0,Japan,JPN,2017,YR2017,126972000,3.4,1.8,1.5,2.7,1.4,1.2,0.64,0.412,0.343,4.937,3.176,2.641,0.06,0.35,0.6,1.06,0.015,0.68,0.092,0.16,0.267,0.283,0.181,0.085,0.51,0.887,1.477,1.567,1.003,1.87,5.529,3.557,2.958
Food Prices for Nutrition 2.0,FPN 2.0,Jordan,JOR,2017,YR2017,10215381,0.6,0,0,6.1,0.1,0,0.732,0.345,0.138,3.046,1.438,0.574,0.32,0.81,3.2,1.66,0.037,1.5,0.095,0.377,0.118,0.195,0.177,0.127,0.324,1.288,0.402,0.667,0.604,5.31,3.412,1.61,0.643
Food Prices for Nutrition 2.0,FPN 2.0,Kazakhstan,KAZ,2017,YR2017,18037776,0.5,0.1,0,2.5,0.5,0,0.283,0.207,0.077,2.135,1.565,0.583,0.29,1.08,1.56,0.8,0.052,0.83,0.195,0.281,0.18,0.144,0.149,0.124,0.466,0.672,0.43,0.344,0.356,3.66,2.391,1.753,0.653
Food Prices for Nutrition 2.0,FPN 2.0,Kenya,KEN,2017,YR2017,48948137,37.9,27.9,5.7,77.4,57,11.6,0.79,0.514,0.213,2.541,1.653,0.685,0.41,0.5,2.16,1.19,0.063,1.32,0.076,0.329,0.152,0.181,0.2,0.179,0.216,0.935,0.432,0.515,0.569,3.71,2.846,1.851,0.767
Food Prices for Nutrition 2.0,FPN 2.0,"Korea, Rep.",KOR,2017,YR2017,51361911,1.2,0.8,0,2.2,1.5,0,0.908,0.817,0.129,4.207,3.788,0.597,0.16,0.75,2.45,2.61,0.017,2.74,0.077,0.252,0.103,0.268,0.282,0.078,0.365,1.188,0.485,1.265,1.331,7.04,4.712,4.242,0.669
Food Prices for Nutrition 2.0,FPN 2.0,Kuwait,KWT,2017,YR2017,4124904,..,..,..,..,..,..,0.526,0.282,0.054,2.986,1.599,0.304,0.67,1.32,4.05,3.65,0.051,2.53,0.1,0.306,0.076,0.276,0.191,0.169,0.333,1.024,0.253,0.924,0.64,9.81,3.344,1.791,0.341
Food Prices for Nutrition 2.0,FPN 2.0,Kyrgyz Republic,KGZ,2017,YR2017,6198200,3.5,2.4,0,56.3,38.9,0.7,0.676,0.56,0.22,2.652,2.196,0.862,0.33,1.06,1.5,0.84,0.058,0.88,0.189,0.268,0.178,0.15,0.157,0.172,0.562,0.796,0.529,0.445,0.466,3.08,2.97,2.459,0.965
Food Prices for Nutrition 2.0,FPN 2.0,Lao PDR,LAO,2017,YR2017,6997917,5.3,4.3,0.1,75.3,61.1,0.8,0.894,0.687,0.171,3.371,2.59,0.646,0.36,0.82,2.31,1.87,0.046,1.54,0.104,0.293,0.127,0.236,0.195,0.172,0.394,1.105,0.478,0.892,0.736,5.22,3.776,2.901,0.724
Food Prices for Nutrition 2.0,FPN 2.0,Latin America & Caribbean,LCN,2017,YR2017,572342871,124.4,100.9,17.2,22,17.9,3,0.721,0.617,0.225,3.231,2.729,0.973,0.25,0.69,1.43,1.44,0.042,1.07,0.118,0.244,0.17,0.245,0.182,0.153,0.427,0.882,0.615,0.885,0.658,1.184227749,3.619,3.056,1.09
Food Prices for Nutrition 2.0,FPN 2.0,Latvia,LVA,2017,YR2017,1942248,0.1,0,0,3.4,1.7,0.2,0.428,0.278,0.06,2.789,1.812,0.395,0.33,0.94,2.37,2.75,0.036,1.93,0.101,0.254,0.107,0.295,0.207,0.111,0.314,0.794,0.335,0.921,0.648,7.07,3.124,2.029,0.442
Food Prices for Nutrition 2.0,FPN 2.0,Lesotho,LSO,2017,YR2017,2170617,1.8,1.4,0.2,83.2,63.3,10.7,1.463,0.895,0.236,3.366,2.059,0.543,0.32,0.78,2.54,1.71,0.039,1.81,0.096,0.311,0.123,0.209,0.222,0.148,0.362,1.172,0.462,0.788,0.838,6.2,3.77,2.306,0.608
Food Prices for Nutrition 2.0,FPN 2.0,Liberia,LBR,2017,YR2017,4796631,4.4,4,1,91.8,82.7,20.2,5.272,3.913,1.274,3.588,2.663,0.867,0.07,0.18,0.54,0.66,0.023,0.71,0.057,0.17,0.316,0.209,0.224,0.092,0.229,0.685,1.27,0.84,0.901,4.14,4.018,2.982,0.971
Food Prices for Nutrition 2.0,FPN 2.0,Lithuania,LTU,2017,YR2017,2828403,0.1,0,0,3.3,1.6,0.8,0.263,0.173,0.044,2.681,1.758,0.451,0.23,0.93,1.91,2.27,0.029,1.82,0.114,0.234,0.123,0.278,0.223,0.086,0.343,0.702,0.368,0.834,0.67,5.95,3.003,1.969,0.505
Food Prices for Nutrition 2.0,FPN 2.0,Low income,LIC,2017,YR2017,504388820,440.9,363.6,102.6,88.8,73.2,20.7,2.022,1.344,0.548,2.753,1.834,0.765,0.29,0.35,1.72,1.38,0.052,0.89,0.063,0.304,0.177,0.245,0.159,0.159,0.194,0.939,0.547,0.755,0.489,1.501460565,3.084,2.054,0.856
Food Prices for Nutrition 2.0,FPN 2.0,Lower middle income,LMC,2017,YR2017,3130516509,2246.4,1637.5,210.8,72.3,52.7,6.8,0.937,0.672,0.248,3.033,2.203,0.823,0.3,0.62,1.9,1.45,0.046,1.25,0.094,0.29,0.153,0.221,0.191,0.155,0.321,0.984,0.519,0.75,0.649,1.376976084,3.397,2.467,0.921
Food Prices for Nutrition 2.0,FPN 2.0,Luxembourg,LUX,2017,YR2017,596336,0,0,0,0.4,0.4,0.1,0.298,0.244,0.04,2.225,1.82,0.299,0.27,1.35,3.15,2.55,0.022,3.66,0.112,0.263,0.083,0.213,0.306,0.056,0.28,0.656,0.208,0.53,0.762,7.44,2.492,2.038,0.335
Food Prices for Nutrition 2.0,FPN 2.0,Madagascar,MDG,2017,YR2017,26169542,25.4,25.1,20.5,97.1,96,78.3,1.627,1.41,0.588,2.667,2.312,0.963,0.35,0.59,1.84,0.58,0.066,1.01,0.11,0.341,0.186,0.108,0.188,0.197,0.328,1.02,0.555,0.324,0.563,2.77,2.987,2.589,1.079
Food Prices for Nutrition 2.0,FPN 2.0,Malawi,MWI,2017,YR2017,17881167,16.9,14.9,0.4,94.5,83.2,2.4,2.095,1.243,0.219,2.432,1.443,0.254,0.54,0.4,3.31,1.86,0.065,1.21,0.048,0.398,0.12,0.224,0.145,0.176,0.13,1.085,0.328,0.61,0.396,9.56,2.724,1.616,0.285
Food Prices for Nutrition 2.0,FPN 2.0,Malaysia,MYS,2017,YR2017,31975806,1,0.3,0,3,0.9,0,0.371,0.274,0.104,2.879,2.129,0.812,0.15,0.64,1.82,1.42,0.021,2.04,0.091,0.257,0.141,0.201,0.288,0.067,0.294,0.83,0.456,0.648,0.929,3.55,3.224,2.384,0.909
Food Prices for Nutrition 2.0,FPN 2.0,Maldives,MDV,2017,YR2017,472442,0,0,0,3.4,0.6,0,1.225,0.919,0.145,3.197,2.398,0.378,0.41,1.71,3.79,4.46,0.028,3.6,0.114,0.253,0.067,0.298,0.24,0.099,0.409,0.906,0.239,1.067,0.861,8.47,3.581,2.686,0.423
Food Prices for Nutrition 2.0,FPN 2.0,Mali,MLI,2017,YR2017,19311355,14.9,11.1,0.4,77.3,57.5,1.9,1.126,0.77,0.233,2.589,1.772,0.536,0.33,0.31,2.33,1.51,0.049,1.26,0.046,0.346,0.148,0.223,0.187,0.143,0.134,1.003,0.43,0.648,0.543,4.83,2.9,1.985,0.6
Food Prices for Nutrition 2.0,FPN 2.0,Malta,MLT,2017,YR2017,467999,0,0,0,0.3,0.3,0.1,0.512,0.388,0.109,3.12,2.363,0.662,0.16,0.89,1.56,1.44,0.023,1.83,0.129,0.228,0.145,0.209,0.266,0.08,0.45,0.795,0.508,0.73,0.931,4.72,3.494,2.647,0.741
Food Prices for Nutrition 2.0,FPN 2.0,Mauritania,MRT,2017,YR2017,4160015,2.6,2,0.1,61.7,48.3,2.7,1.036,0.845,0.263,3.081,2.513,0.783,0.35,0.42,2.07,1.88,0.046,1.74,0.056,0.278,0.134,0.252,0.233,0.16,0.194,0.96,0.463,0.87,0.804,3.94,3.451,2.814,0.877
Food Prices for Nutrition 2.0,FPN 2.0,Mauritius,MUS,2017,YR2017,1264613,0.1,0.1,0,10.9,4.4,0,0.318,0.242,0.078,2.958,2.249,0.727,0.25,0.73,2.15,2.63,0.03,1.39,0.089,0.264,0.123,0.323,0.171,0.1,0.296,0.876,0.407,1.07,0.565,4.07,3.313,2.519,0.814
Food Prices for Nutrition 2.0,FPN 2.0,Mexico,MEX,2017,YR2017,122839258,29.9,21.2,0.9,24.3,17.2,0.7,0.38,0.315,0.082,2.672,2.217,0.574,0.23,0.85,1.86,1.88,0.032,1.46,0.117,0.256,0.137,0.258,0.2,0.096,0.35,0.766,0.411,0.771,0.599,4.65,2.993,2.483,0.643
Food Prices for Nutrition 2.0,FPN 2.0,Middle East & North Africa,MEA,2017,YR2017,395380211,111.3,46.6,1.3,32,13.4,0.4,0.575,0.379,0.137,2.804,1.814,0.658,0.31,0.75,2.04,1.3,0.045,1.41,0.11,0.3,0.147,0.191,0.208,0.141,0.345,0.941,0.461,0.601,0.652,1.545275591,3.14,2.032,0.737
Food Prices for Nutrition 2.0,FPN 2.0,Moldova,MDA,2017,YR2017,2755189,0.1,0,0,3.5,0.3,0,0.355,0.243,0.116,2.196,1.503,0.716,0.26,0.78,1.61,0.73,0.049,0.94,0.146,0.303,0.188,0.138,0.176,0.121,0.36,0.746,0.462,0.339,0.432,3.07,2.46,1.683,0.802
Food Prices for Nutrition 2.0,FPN 2.0,Mongolia,MNG,2017,YR2017,3096030,1.8,0.4,0,58.5,14.4,0.1,0.979,0.487,0.16,4.057,2.017,0.663,0.3,0.85,1.37,1.23,0.037,3.47,0.103,0.166,0.122,0.15,0.423,0.167,0.468,0.756,0.553,0.68,1.921,6.12,4.544,2.259,0.743
Food Prices for Nutrition 2.0,FPN 2.0,Montenegro,MNE,2017,YR2017,622373,0.1,0.1,0,15.9,9.1,1.6,0.31,0.209,0.05,3.033,2.048,0.492,0.19,0.86,2.03,1.95,0.024,1.96,0.108,0.254,0.125,0.244,0.245,0.081,0.367,0.862,0.425,0.829,0.833,6.17,3.397,2.294,0.551
Food Prices for Nutrition 2.0,FPN 2.0,Montserrat,MSR,2017,YR2017,..,..,..,..,..,..,..,0.784,0.591,0.222,4.36,3.289,1.233,0.26,0.61,1.05,2.35,0.041,1.15,0.095,0.164,0.156,0.366,0.179,0.201,0.462,0.799,0.76,1.785,0.876,3.54,4.883,3.684,1.381
Food Prices for Nutrition 2.0,FPN 2.0,Morocco,MAR,2017,YR2017,35528115,6.3,2.3,0,17.7,6.5,0,0.641,0.452,0.144,2.42,1.707,0.543,0.29,0.87,1.95,1.18,0.044,1.31,0.132,0.294,0.151,0.179,0.199,0.119,0.358,0.798,0.41,0.485,0.539,4.46,2.71,1.912,0.608
Food Prices for Nutrition 2.0,FPN 2.0,Mozambique,MOZ,2017,YR2017,28569441,26.1,23.8,3.8,91.2,83.3,13.2,1.932,1.255,0.244,2.706,1.758,0.342,0.47,0.51,2.43,2.07,0.063,0.95,0.069,0.328,0.135,0.278,0.128,0.191,0.208,0.993,0.408,0.843,0.389,7.91,3.031,1.969,0.383
Food Prices for Nutrition 2.0,FPN 2.0,Myanmar,MMR,2017,YR2017,52288341,37.1,22.3,0.4,71,42.7,0.7,1.034,0.726,0.254,3.309,2.321,0.813,0.17,0.57,1.6,1.42,0.03,0.99,0.099,0.278,0.174,0.246,0.173,0.111,0.368,1.029,0.645,0.913,0.64,4.07,3.706,2.6,0.91
Food Prices for Nutrition 2.0,FPN 2.0,Namibia,NAM,2017,YR2017,2364534,1.3,0.8,0.3,55.4,33.6,13.9,0.979,0.553,0.304,2.906,1.642,0.901,0.2,0.34,1.29,1.45,0.035,1.42,0.059,0.226,0.175,0.255,0.249,0.115,0.192,0.736,0.571,0.83,0.811,3.23,3.255,1.839,1.009
Food Prices for Nutrition 2.0,FPN 2.0,Nepal,NPL,2017,YR2017,28183426,22.6,14.4,0.7,80.3,51,2.6,1.057,0.657,0.253,3.685,2.29,0.881,0.33,0.66,2.72,1.4,0.04,2.02,0.082,0.334,0.123,0.172,0.248,0.166,0.337,1.38,0.507,0.711,1.025,4.18,4.127,2.565,0.987
Food Prices for Nutrition 2.0,FPN 2.0,Netherlands,NLD,2017,YR2017,17131296,0.1,0,0,0.4,0.3,0,0.394,0.254,0.043,2.449,1.581,0.265,0.16,0.79,1.91,2.77,0.019,1.89,0.093,0.224,0.117,0.325,0.221,0.053,0.255,0.614,0.322,0.892,0.607,9.24,2.743,1.771,0.297
Food Prices for Nutrition 2.0,FPN 2.0,New Zealand,NZL,2017,YR2017,4813600,..,..,..,..,..,..,0.319,0.265,0.058,2.385,1.985,0.437,0.18,0.96,2.36,1.92,0.021,2.12,0.112,0.277,0.117,0.225,0.248,0.056,0.299,0.739,0.313,0.6,0.663,5.46,2.671,2.223,0.489
Food Prices for Nutrition 2.0,FPN 2.0,Nicaragua,NIC,2017,YR2017,6480532,2.1,1.4,0.4,32.3,21.2,5.7,0.935,0.729,0.421,2.849,2.222,1.282,0.24,0.56,1.73,1.27,0.044,0.64,0.104,0.318,0.184,0.233,0.117,0.14,0.331,1.016,0.587,0.743,0.373,2.22,3.191,2.489,1.436
Food Prices for Nutrition 2.0,FPN 2.0,Niger,NER,2017,YR2017,21737922,20.2,16.8,3,92.9,77.1,13.6,4.064,2.364,0.867,2.545,1.48,0.543,0.36,0.23,2.84,1.18,0.051,1.5,0.033,0.399,0.141,0.166,0.211,0.144,0.094,1.138,0.401,0.473,0.601,4.69,2.85,1.658,0.608
Food Prices for Nutrition 2.0,FPN 2.0,Nigeria,NGA,2017,YR2017,193495907,174.6,134.3,85.8,90.2,69.4,44.4,0.603,0.358,0.234,3.183,1.888,1.234,0.17,0.3,1.31,1.23,0.036,0.69,0.065,0.279,0.212,0.261,0.146,0.13,0.23,0.994,0.757,0.932,0.522,2.58,3.565,2.115,1.382
Food Prices for Nutrition 2.0,FPN 2.0,North America,NAC,2017,YR2017,361731237,6.8,5.1,4.1,1.9,1.4,1.1,0.433,0.365,0.113,3.024,2.688,0.797,0.17,0.61,1,1.81,0.03,0.96,0.111,0.18,0.18,0.326,0.173,0.101,0.375,0.608,0.611,1.103,0.587,1.124543341,3.386,3.011,0.892
Food Prices for Nutrition 2.0,FPN 2.0,North Macedonia,MKD,2017,YR2017,2074502,0.4,0.3,0.1,20.1,16.8,2.6,0.434,0.389,0.096,2.963,2.654,0.652,0.28,0.66,1.81,1.36,0.044,1.22,0.105,0.286,0.158,0.215,0.193,0.146,0.347,0.949,0.525,0.712,0.64,4.55,3.318,2.972,0.73
Food Prices for Nutrition 2.0,FPN 2.0,Norway,NOR,2017,YR2017,5276968,0,0,0,0.6,0.5,0.3,0.446,0.382,0.15,2.969,2.544,1.002,0.13,0.45,1.22,1.99,0.023,1.09,0.077,0.208,0.17,0.337,0.185,0.075,0.257,0.691,0.565,1.122,0.615,2.96,3.325,2.849,1.122
Food Prices for Nutrition 2.0,FPN 2.0,Oman,OMN,2017,YR2017,4541854,..,..,..,..,..,..,0.39,0.263,0.072,2.513,1.696,0.466,0.3,0.71,1.7,1.21,0.053,0.76,0.125,0.299,0.176,0.213,0.134,0.148,0.351,0.842,0.496,0.599,0.378,5.39,2.815,1.899,0.522
Food Prices for Nutrition 2.0,FPN 2.0,Pakistan,PAK,2017,YR2017,216379655,175.3,88.5,0.6,81,40.9,0.3,0.928,0.53,0.209,3.043,1.738,0.686,0.47,0.83,2.49,1.28,0.057,2.25,0.1,0.299,0.12,0.154,0.271,0.193,0.34,1.019,0.41,0.524,0.923,4.44,3.408,1.946,0.768
Food Prices for Nutrition 2.0,FPN 2.0,Panama,PAN,2017,YR2017,4096063,0.7,0.5,0.1,17.5,12.1,2.2,0.516,0.394,0.138,3.772,2.879,1.007,0.25,0.44,1.61,1.88,0.04,0.95,0.072,0.263,0.163,0.307,0.155,0.17,0.306,1.11,0.69,1.295,0.654,3.75,4.225,3.224,1.128
Food Prices for Nutrition 2.0,FPN 2.0,Paraguay,PRY,2017,YR2017,6355404,1.3,1.6,0,19.9,24.4,0.5,0.585,0.662,0.162,3.063,3.47,0.848,0.3,1.74,1.71,1.53,0.041,0.96,0.241,0.236,0.138,0.211,0.133,0.142,0.826,0.809,0.474,0.724,0.455,3.61,3.43,3.886,0.95
Food Prices for Nutrition 2.0,FPN 2.0,Peru,PER,2017,YR2017,31605486,8.4,5.2,0.9,26.6,16.5,2.7,0.696,0.505,0.207,2.754,2,0.818,0.21,0.59,1.52,0.93,0.04,0.96,0.113,0.291,0.192,0.179,0.185,0.122,0.35,0.898,0.591,0.552,0.57,3.37,3.084,2.24,0.916
Food Prices for Nutrition 2.0,FPN 2.0,Philippines,PHL,2017,YR2017,106738501,74.8,56.7,7.4,70.1,53.1,6.9,0.586,0.43,0.176,3.431,2.518,1.034,0.29,0.47,1.6,1.39,0.052,0.86,0.083,0.285,0.178,0.248,0.154,0.201,0.319,1.095,0.684,0.953,0.591,3.32,3.843,2.82,1.158
Food Prices for Nutrition 2.0,FPN 2.0,Poland,POL,2017,YR2017,37974826,0.4,0,0,1,0.1,0,0.381,0.252,0.051,2.597,1.719,0.348,0.28,1.19,1.84,2.8,0.031,2.05,0.13,0.201,0.109,0.306,0.224,0.09,0.377,0.584,0.318,0.89,0.651,7.46,2.909,1.925,0.39
Food Prices for Nutrition 2.0,FPN 2.0,Portugal,PRT,2017,YR2017,10300300,0.1,0.1,0,1.1,0.7,0.1,0.278,0.203,0.046,2.244,1.638,0.368,0.29,1.01,2.15,2.29,0.031,2.54,0.109,0.232,0.108,0.247,0.273,0.078,0.275,0.583,0.271,0.62,0.687,6.1,2.513,1.835,0.412
Food Prices for Nutrition 2.0,FPN 2.0,Qatar,QAT,2017,YR2017,2711755,..,..,..,..,..,..,0.466,0.23,0.118,2.121,1.047,0.538,0.21,0.9,1.97,1.43,0.03,1.39,0.131,0.286,0.145,0.208,0.201,0.071,0.311,0.679,0.344,0.493,0.478,3.95,2.375,1.173,0.602
Food Prices for Nutrition 2.0,FPN 2.0,Romania,ROU,2017,YR2017,19588715,2.3,1.6,0.2,11.9,8,0.9,0.273,0.205,0.046,2.608,1.952,0.437,0.2,0.98,2.64,1.39,0.025,1.95,0.12,0.324,0.123,0.17,0.239,0.073,0.351,0.945,0.358,0.497,0.697,5.97,2.921,2.186,0.489
Food Prices for Nutrition 2.0,FPN 2.0,Russian Federation,RUS,2017,YR2017,144496739,4.7,1.1,0,3.3,0.8,0,0.343,0.241,0.066,2.812,1.978,0.541,0.38,0.53,2.72,2.05,0.043,2.07,0.061,0.311,0.114,0.235,0.237,0.135,0.191,0.98,0.36,0.739,0.745,5.2,3.149,2.215,0.606
Food Prices for Nutrition 2.0,FPN 2.0,Rwanda,RWA,2017,YR2017,12230339,10.6,7.5,3.4,87,61.3,28.1,1.808,0.908,0.529,2.329,1.171,0.681,0.33,0.23,1.58,0.52,0.073,0.83,0.052,0.352,0.222,0.116,0.184,0.19,0.136,0.919,0.58,0.303,0.481,3.42,2.609,1.311,0.763
Food Prices for Nutrition 2.0,FPN 2.0,Sao Tome and Principe,STP,2017,YR2017,208036,0.2,0.1,0,76.6,63.4,8,0.702,0.548,0.191,2.936,2.294,0.8,0.25,0.82,2.13,2.19,0.036,0.51,0.119,0.309,0.145,0.318,0.073,0.117,0.392,1.015,0.477,1.046,0.241,3.67,3.288,2.569,0.896
Food Prices for Nutrition 2.0,FPN 2.0,Saudi Arabia,SAU,2017,YR2017,34193122,..,..,..,..,..,..,0.329,0.167,0.084,3.072,1.564,0.788,0.38,0.66,2.26,1.61,0.05,1.62,0.088,0.3,0.133,0.214,0.215,0.173,0.303,1.031,0.457,0.738,0.739,3.9,3.441,1.752,0.883
Food Prices for Nutrition 2.0,FPN 2.0,Senegal,SEN,2017,YR2017,15157793,8.1,6.5,0.5,53.5,43.2,3.3,0.677,0.574,0.23,1.955,1.659,0.665,0.47,0.31,0.94,1.69,0.087,1.05,0.057,0.172,0.183,0.309,0.193,0.19,0.124,0.377,0.401,0.677,0.422,2.94,2.19,1.858,0.745
Food Prices for Nutrition 2.0,FPN 2.0,Serbia,SRB,2017,YR2017,7020858,1.9,1,0.2,27.2,14.3,3.2,0.608,0.398,0.09,3.634,2.383,0.537,0.17,1.07,1.74,1.61,0.024,1.52,0.15,0.245,0.141,0.226,0.214,0.096,0.612,0.998,0.572,0.92,0.872,6.77,4.07,2.669,0.601
Food Prices for Nutrition 2.0,FPN 2.0,Seychelles,SYC,2017,YR2017,95843,0,0,0,9.1,2.5,0.1,0.807,0.437,0.128,3.58,1.937,0.566,0.25,2.3,2.86,2.87,0.024,1.25,0.218,0.271,0.095,0.273,0.119,0.095,0.875,1.088,0.381,1.094,0.476,6.32,4.01,2.169,0.634
